iter	Passed	Remaining
0	1	1318
1	2	1164
2	3	1210
3	4	1151
4	5	1114
5	6	1109
6	7	1091
7	8	1071
8	9	1046
9	10	1022
10	11	1004
11	12	993
12	12	978
13	13	969
14	14	961
15	15	956
16	16	948
17	17	940
18	18	948
19	19	948
20	20	950
21	21	950
22	22	946
23	23	939
24	23	933
25	24	927
26	25	922
27	26	917
28	27	913
29	28	908
30	28	905
31	29	901
32	30	899
33	31	897
34	32	894
35	33	899
36	34	900
37	35	901
38	36	900
39	37	897
40	38	895
41	39	892
42	39	889
43	40	886
44	41	883
45	42	880
46	43	878
47	44	874
48	44	872
49	45	868
50	46	864
51	47	860
52	48	861
53	49	859
54	49	858
55	50	856
56	51	853
57	52	850
58	53	847
59	53	843
60	54	839
61	55	836
62	55	832
63	56	829
64	57	828
65	58	827
66	59	825
67	60	822
68	60	819
69	61	816
70	62	813
71	63	812
72	63	810
73	64	807
74	65	805
75	66	803
76	66	800
77	67	797
78	68	795
79	68	791
80	69	788
81	70	785
82	70	779
83	71	776
84	71	773
85	72	771
86	73	768
87	73	766
88	74	763
89	75	761
90	75	758
91	76	756
92	77	755
93	78	755
94	79	754
95	79	753
96	80	751
97	81	748
98	81	745
99	82	743
100	83	741
101	83	738
102	84	736
103	85	734
104	86	736
105	87	736
106	88	735
107	88	733
108	89	731
109	90	729
110	90	727
111	91	725
112	92	725
113	93	724
114	93	722
115	94	721
116	95	719
117	96	717
118	96	715
119	97	713
120	97	711
121	98	708
122	99	707
123	99	705
124	100	705
125	101	705
126	102	704
127	103	703
128	104	702
129	104	701
130	105	699
131	106	697
132	106	697
133	107	696
134	108	695
135	109	694
136	109	692
137	110	690
138	111	688
139	111	686
140	112	685
141	112	681
142	113	680
143	114	678
144	114	677
145	115	675
146	116	674
147	116	672
148	117	671
149	118	669
150	118	668
151	119	666
152	120	665
153	120	663
154	121	662
155	122	662
156	123	661
157	123	659
158	124	658
159	125	657
160	125	654
161	126	653
162	126	651
163	127	649
164	128	648
